n_grid,p,avg_max_cluster,probability_spanning_cluster
50,0,0,0
50,0.01,1.38,0
50,0.02,1.97,0
50,0.03,2.29,0
50,0.04,2.68,0
50,0.05,3.02,0
50,0.06,3.42,0
50,0.07,3.76,0
50,0.08,4.17,0
50,0.09,4.56,0
50,0.1,5.06,0
50,0.11,5.41,0
50,0.12,5.84,0
50,0.13,6.26,0
50,0.14,6.68,0
50,0.15,7.21,0
50,0.16,7.56,0
50,0.17,8.08,0
50,0.18,8.66,0
50,0.19,9.12,0
50,0.2,9.94,0
50,0.21,10.48,0
50,0.22,11.22,0
50,0.23,12.18,0
50,0.24,12.86,0
50,0.25,13.83,0
50,0.26,14.83,0
50,0.27,15.69,0
50,0.28,16.97,0
50,0.29,18.18,0
50,0.3,19.97,0
50,0.31,21.19,0
50,0.32,22.57,0
50,0.33,24.65,0
50,0.34,27.92,0
50,0.35,29.38,0
50,0.36,31.92,0
50,0.37,34.66,0
50,0.38,38.03,0
50,0.39,41.1,0
50,0.4,44.64,0
50,0.41,48.78,0
50,0.42,52.83,0
50,0.43,58.42,0
50,0.44,63.36,0
50,0.45,72.27,0
50,0.46,80.9,0
50,0.47,93.52,0
50,0.48,106.35,0
50,0.49,121.1,0
50,0.5,144.36,0.01
50,0.51,155.02,0
50,0.52,185.27,0.02
50,0.53,221.81,0.03
50,0.54,268.3,0.05
50,0.55,328,0.1
50,0.56,420.04,0.21
50,0.57,503.77,0.35
50,0.58,612.3,0.51
50,0.59,706.91,0.65
50,0.6,832.66,0.8
50,0.61,956.28,0.88
50,0.62,1108.1,0.95
50,0.63,1217.48,0.98
50,0.64,1329.42,0.99
50,0.65,1416.16,1
50,0.66,1485.65,1
50,0.67,1544.33,1
50,0.68,1601.58,1
50,0.69,1641.27,1
50,0.7,1685.18,1
50,0.71,1723.76,1
50,0.72,1758.48,1
50,0.73,1789.64,1
50,0.74,1820.55,1
50,0.75,1849.47,1
50,0.76,1878.56,1
50,0.77,1912.05,1
50,0.78,1942.65,1
50,0.79,1969.08,1
50,0.8,1996.3,1
50,0.81,2022.49,1
50,0.82,2047.98,1
50,0.83,2073.85,1
50,0.84,2099.88,1
50,0.85,2124.91,1
50,0.86,2149.78,1
50,0.87,2175.6,1
50,0.88,2200.45,1
50,0.89,2225.67,1
50,0.9,2249.42,1
50,0.91,2274.61,1
50,0.92,2299.86,1
50,0.93,2324.01,1
50,0.94,2350.05,1
50,0.95,2374.2,1
50,0.96,2398.76,1
50,0.97,2424.09,1
50,0.98,2449.12,1
50,0.99,2474.03,1
50,1,2500,1
100,0,0,0
100,0.01,1.89,0
100,0.02,2.35,0
100,0.03,2.75,0
100,0.04,3.27,0
100,0.05,3.81,0
100,0.06,4.14,0
100,0.07,4.5,0
100,0.08,4.99,0
100,0.09,5.39,0
100,0.1,6,0
100,0.11,6.44,0
100,0.12,6.99,0
100,0.13,7.42,0
100,0.14,8.08,0
100,0.15,8.59,0
100,0.16,9.2,0
100,0.17,9.88,0
100,0.18,10.44,0
100,0.19,11.02,0
100,0.2,11.85,0
100,0.21,12.71,0
100,0.22,13.56,0
100,0.23,14.59,0
100,0.24,15.63,0
100,0.25,17.02,0
100,0.26,17.74,0
100,0.27,19.66,0
100,0.28,21.5,0
100,0.29,23.5,0
100,0.3,24.8,0
100,0.31,26.52,0
100,0.32,28.48,0
100,0.33,30.47,0
100,0.34,35.21,0
100,0.35,38.53,0
100,0.36,41.53,0
100,0.37,44.66,0
100,0.38,48.15,0
100,0.39,54.02,0
100,0.4,60.22,0
100,0.41,65.63,0
100,0.42,73,0
100,0.43,82.86,0
100,0.44,89.63,0
100,0.45,102.66,0
100,0.46,119.49,0
100,0.47,141.49,0
100,0.48,164.26,0
100,0.49,192.69,0
100,0.5,219.33,0
100,0.51,260.71,0
100,0.52,330.92,0
100,0.53,419.87,0
100,0.54,574.31,0.01
100,0.55,731.16,0.04
100,0.56,965.79,0.1
100,0.57,1348.83,0.19
100,0.58,1855.08,0.36
100,0.59,2649.99,0.65
100,0.6,3518.78,0.87
100,0.61,4337.66,0.98
100,0.62,4934,1
100,0.63,5381.52,1
100,0.64,5751.47,1
100,0.65,6008.61,1
100,0.66,6219.82,1
100,0.67,6382.43,1
100,0.68,6545.91,1
100,0.69,6694.11,1
100,0.7,6828.86,1
100,0.71,6959.06,1
100,0.72,7083.01,1
100,0.73,7205.15,1
100,0.74,7319.55,1
